"nodeType","testName","category","metric","value","timestamp"
"client","S1","latency","read",2947,"1684045090618"
"client","S1","latency","read",4345,"1684045090623"
"client","S1","latency","read",2930,"1684045090626"
"client","S1","latency","read",2808,"1684045090628"
"client","S1","latency","read",5164,"1684045090634"
"client","S1","latency","read",4311,"1684045090641"
"client","S1","latency","read",3129,"1684045090654"
"client","S1","latency","read",3077,"1684045090657"
"client","S1","latency","read",3298,"1684045090660"
"client","S1","latency","read",3084,"1684045090671"
"client","S1","latency","read",3711,"1684045090675"
"client","S1","latency","read",3179,"1684045090687"
"client","S1","latency","read",7546,"1684045090694"
"client","S1","latency","read",4253,"1684045090702"
"client","S1","latency","read",3054,"1684045090714"
"client","S1","latency","read",3845,"1684045090718"
"client","S1","latency","read",5077,"1684045090726"
"client","S1","latency","read",2713,"1684045090759"
"client","S1","latency","read",2604,"1684045090762"
"client","S1","latency","read",2662,"1684045090764"
"client","S1","latency","read",3553,"1684045090773"
"client","S1","latency","read",8033,"1684045090781"
"client","S1","latency","read",3597,"1684045090785"
"client","S1","latency","read",3963,"1684045090789"
"client","S1","latency","read",3648,"1684045090796"
"client","S1","latency","read",2995,"1684045090799"
"client","S1","latency","read",2887,"1684045090808"
"client","S1","latency","read",3470,"1684045090812"
"client","S1","latency","read",3082,"1684045090819"
"client","S1","latency","read",5253,"1684045090839"
"client","S1","latency","read",3015,"1684045090846"
"client","S1","latency","read",3015,"1684045090854"
"client","S1","latency","read",2953,"1684045090857"
"client","S1","latency","read",2964,"1684045090860"
"client","S1","latency","read",2944,"1684045090872"
"client","S1","latency","read",2967,"1684045090887"
"client","S1","latency","read",3032,"1684045090909"
"client","S1","latency","read",8430,"1684045090924"
"client","S1","latency","read",3848,"1684045090927"
"client","S1","latency","read",3070,"1684045090930"
"client","S1","latency","read",2888,"1684045090933"
"client","S1","latency","read",3463,"1684045090937"
"client","S1","latency","read",3067,"1684045090940"
"client","S1","latency","read",4745,"1684045090945"
"client","S1","latency","read",3147,"1684045090948"
"client","S1","latency","read",2965,"1684045090954"
"client","S1","latency","read",9054,"1684045090970"
"client","S1","latency","read",3121,"1684045090988"
"client","S1","latency","read",7599,"1684045091000"
"client","S1","latency","read",2787,"1684045091010"
"client","S1","latency","read",3721,"1684045091026"
"client","S1","latency","read",4091,"1684045091033"
"client","S1","latency","read",2942,"1684045091036"
"client","S1","latency","read",7653,"1684045091049"
"client","S1","latency","read",2732,"1684045091055"
"client","S1","latency","read",2560,"1684045091060"
"client","S1","latency","read",2606,"1684045091063"
"client","S1","latency","read",2881,"1684045091072"
"client","S1","latency","read",2679,"1684045091074"
"client","S1","latency","read",2684,"1684045091077"
"client","S1","latency","read",2976,"1684045091080"
"client","S1","latency","read",4549,"1684045091089"
"client","S1","latency","read",3005,"1684045091095"
"client","S1","latency","read",2898,"1684045091107"
"client","S1","latency","read",6576,"1684045091126"
"client","S1","latency","read",2949,"1684045091135"
"client","S1","latency","read",3045,"1684045091138"
"client","S1","latency","read",2842,"1684045091155"
"client","S1","latency","read",2633,"1684045091157"
"client","S1","latency","read",2556,"1684045091160"
"client","S1","latency","read",6334,"1684045091166"
"client","S1","latency","read",3066,"1684045091169"
"client","S1","latency","read",2654,"1684045091175"
"client","S1","latency","read",2661,"1684045091177"
"client","S1","latency","read",2668,"1684045091180"
"client","S1","latency","read",3334,"1684045091204"
"client","S1","latency","read",2718,"1684045091209"
"client","S1","latency","read",2623,"1684045091218"
"client","S1","latency","read",3427,"1684045091221"
"client","S1","latency","read",2999,"1684045091236"
"client","S1","latency","read",2907,"1684045091243"
"client","S1","latency","read",5681,"1684045091249"
"client","S1","latency","read",2641,"1684045091255"
"client","S1","latency","read",2619,"1684045091257"
"client","S1","latency","read",2578,"1684045091260"
"client","S1","latency","read",3372,"1684045091263"
"client","S1","latency","read",8789,"1684045091275"
"client","S1","latency","read",2826,"1684045091286"
"client","S1","latency","read",5782,"1684045091292"
"client","S1","latency","read",3038,"1684045091295"
"client","S1","latency","read",2599,"1684045091306"
"client","S1","latency","read",2679,"1684045091308"
"client","S1","latency","read",8864,"1684045091317"
"client","S1","latency","read",3009,"1684045091321"
"client","S1","latency","read",4361,"1684045091325"
"client","S1","latency","read",7905,"1684045091341"
"client","S1","latency","read",2798,"1684045091347"
"client","S1","latency","read",2875,"1684045091350"
"client","S1","latency","read",3049,"1684045091353"
"client","S1","latency","read",3078,"1684045091356"
"client","S1","latency","read",2795,"1684045091359"
"client","S1","latency","read",7637,"1684045091367"
"client","S1","latency","read",3698,"1684045091371"
"client","S1","latency","read",2772,"1684045091386"
"client","S1","latency","read",2777,"1684045091389"
"client","S1","latency","read",4395,"1684045091413"
"client","S1","latency","read",3274,"1684045091416"
"client","S1","latency","read",3304,"1684045091419"
"client","S1","latency","read",2880,"1684045091429"
"client","S1","latency","read",2868,"1684045091439"
"client","S1","latency","read",2800,"1684045091442"
"client","S1","latency","read",2902,"1684045091444"
"client","S1","latency","read",2793,"1684045091447"
"client","S1","latency","read",2793,"1684045091450"
"client","S1","latency","read",5505,"1684045091456"
"client","S1","latency","read",2968,"1684045091461"
"client","S1","latency","read",3350,"1684045091465"
"client","S1","latency","read",2990,"1684045091471"
"client","S1","latency","read",3040,"1684045091474"
"client","S1","latency","read",2852,"1684045091491"
"client","S1","latency","read",2872,"1684045091494"
"client","S1","latency","read",2814,"1684045091497"
"client","S1","latency","read",2807,"1684045091510"
"client","S1","latency","read",2888,"1684045091526"
"client","S1","latency","read",2780,"1684045091532"
"client","S1","latency","read",2876,"1684045091537"
"client","S1","latency","read",2869,"1684045091544"
"client","S1","latency","read",2855,"1684045091546"
"client","S1","latency","read",2922,"1684045091552"
"client","S1","latency","read",6807,"1684045091565"
"client","S1","latency","read",2994,"1684045091571"
"client","S1","latency","read",2935,"1684045091599"
"client","S1","latency","read",2953,"1684045091602"
"client","S1","latency","read",3875,"1684045091627"
"client","S1","latency","read",2905,"1684045091630"
"client","S1","latency","read",13411,"1684045091643"
"client","S1","latency","read",2910,"1684045091646"
"client","S1","latency","read",2860,"1684045091649"
"client","S1","latency","read",5047,"1684045091654"
"client","S1","latency","read",2833,"1684045091663"
"client","S1","latency","read",3606,"1684045091669"
"client","S1","latency","read",2719,"1684045091675"
"client","S1","latency","read",3747,"1684045091684"
"client","S1","latency","read",2880,"1684045091687"
"client","S1","latency","read",2800,"1684045091690"
"client","S1","latency","read",3855,"1684045091694"
"client","S1","latency","read",10696,"1684045091709"
"client","S1","latency","read",2956,"1684045091716"
"client","S1","latency","read",2849,"1684045091722"
"client","S1","latency","read",2852,"1684045091725"
"client","S1","latency","read",2842,"1684045091731"
"client","S1","latency","read",9356,"1684045091743"
"client","S1","latency","read",3009,"1684045091749"
"client","S1","latency","read",2885,"1684045091755"
"client","S1","latency","read",3343,"1684045091766"
"client","S1","latency","read",2649,"1684045091768"
"client","S1","latency","read",2764,"1684045091771"
"client","S1","latency","read",7947,"1684045091779"
"client","S1","latency","read",2827,"1684045091782"
"client","S1","latency","read",2563,"1684045091787"
"client","S1","latency","read-failed",-1,"-1"
"client","S1","latency","update",1002902,"1684045087399"
"client","S1","latency","update",7200,"1684045087425"
"client","S1","latency","update",5881,"1684045087431"
"client","S1","latency","update",7071,"1684045087438"
"client","S1","latency","update",16561,"1684045087478"
"client","S1","latency","update",8857,"1684045087487"
"client","S1","latency","update",6706,"1684045087494"
"client","S1","latency","update",6250,"1684045087500"
"client","S1","latency","update",6658,"1684045087529"
"client","S1","latency","update",7011,"1684045087536"
"client","S1","latency","update",7402,"1684045087544"
"client","S1","latency","update",6548,"1684045087550"
"client","S1","latency","update",7043,"1684045087577"
"client","S1","latency","update",5716,"1684045087591"
"client","S1","latency","update",6336,"1684045087598"
"client","S1","latency","update",10779,"1684045087608"
"client","S1","latency","update",9061,"1684045087625"
"client","S1","latency","update",5933,"1684045087645"
"client","S1","latency","update",7953,"1684045087653"
"client","S1","latency","update",11276,"1684045087673"
"client","S1","latency","update",5423,"1684045087679"
"client","S1","latency","update",7832,"1684045087692"
"client","S1","latency","update",5958,"1684045087698"
"client","S1","latency","update",6815,"1684045087705"
"client","S1","latency","update",7410,"1684045087712"
"client","S1","latency","update",5852,"1684045087718"
"client","S1","latency","update",9035,"1684045087732"
"client","S1","latency","update",8224,"1684045087746"
"client","S1","latency","update",7198,"1684045087753"
"client","S1","latency","update",9280,"1684045087763"
"client","S1","latency","update",10705,"1684045087774"
"client","S1","latency","update",5088,"1684045087779"
"client","S1","latency","update",4499,"1684045087783"
"client","S1","latency","update",8827,"1684045087800"
"client","S1","latency","update",4799,"1684045087805"
"client","S1","latency","update",8564,"1684045087813"
"client","S1","latency","update",5121,"1684045087819"
"client","S1","latency","update",7680,"1684045087831"
"client","S1","latency","update",4383,"1684045087841"
"client","S1","latency","update",4535,"1684045087845"
"client","S1","latency","update",5743,"1684045087851"
"client","S1","latency","update",5693,"1684045087861"
"client","S1","latency","update",4393,"1684045087877"
"client","S1","latency","update",4708,"1684045087886"
"client","S1","latency","update",4960,"1684045087895"
"client","S1","latency","update",4856,"1684045087900"
"client","S1","latency","update",5593,"1684045087906"
"client","S1","latency","update",4486,"1684045087910"
"client","S1","latency","update",4229,"1684045087929"
"client","S1","latency","update",4166,"1684045087933"
"client","S1","latency","update",4371,"1684045087937"
"client","S1","latency","update",9005,"1684045087946"
"client","S1","latency","update",5499,"1684045087978"
"client","S1","latency","update",9858,"1684045087987"
"client","S1","latency","update",4717,"1684045087992"
"client","S1","latency","update",4351,"1684045087997"
"client","S1","latency","update",4273,"1684045088001"
"client","S1","latency","update",4540,"1684045088018"
"client","S1","latency","update",5687,"1684045088024"
"client","S1","latency","update",5092,"1684045088047"
"client","S1","latency","update",5184,"1684045088066"
"client","S1","latency","update",5305,"1684045088080"
"client","S1","latency","update",5584,"1684045088100"
"client","S1","latency","update",4482,"1684045088105"
"client","S1","latency","update",11190,"1684045088123"
"client","S1","latency","update",4464,"1684045088127"
"client","S1","latency","update",4871,"1684045088142"
"client","S1","latency","update",6440,"1684045088149"
"client","S1","latency","update",4600,"1684045088171"
"client","S1","latency","update",4069,"1684045088176"
"client","S1","latency","update",7581,"1684045088195"
"client","S1","latency","update",4125,"1684045088207"
"client","S1","latency","update",8187,"1684045088224"
"client","S1","latency","update",4354,"1684045088228"
"client","S1","latency","update",7173,"1684045088235"
"client","S1","latency","update",4456,"1684045088240"
"client","S1","latency","update",6491,"1684045088247"
"client","S1","latency","update",4313,"1684045088251"
"client","S1","latency","update",4057,"1684045088272"
"client","S1","latency","update",4005,"1684045088276"
"client","S1","latency","update",5310,"1684045088282"
"client","S1","latency","update",5264,"1684045088292"
"client","S1","latency","update",3838,"1684045088296"
"client","S1","latency","update",4685,"1684045088301"
"client","S1","latency","update",3920,"1684045088305"
"client","S1","latency","update",4293,"1684045088313"
"client","S1","latency","update",5545,"1684045088330"
"client","S1","latency","update",4134,"1684045088334"
"client","S1","latency","update",4427,"1684045088339"
"client","S1","latency","update",4014,"1684045088349"
"client","S1","latency","update",4303,"1684045088354"
"client","S1","latency","update",7151,"1684045088361"
"client","S1","latency","update",6537,"1684045088374"
"client","S1","latency","update",3957,"1684045088399"
"client","S1","latency","update",3821,"1684045088403"
"client","S1","latency","update",4077,"1684045088407"
"client","S1","latency","update",4155,"1684045088436"
"client","S1","latency","update",9006,"1684045088445"
"client","S1","latency","update",6677,"1684045088455"
"client","S1","latency","update",4045,"1684045088467"
"client","S1","latency","update",4896,"1684045088472"
"client","S1","latency","update",5479,"1684045088481"
"client","S1","latency","update",4787,"1684045088498"
"client","S1","latency","update",3902,"1684045088502"
"client","S1","latency","update",3827,"1684045088519"
"client","S1","latency","update",8251,"1684045088527"
"client","S1","latency","update",4505,"1684045088536"
"client","S1","latency","update",4059,"1684045088540"
"client","S1","latency","update",10007,"1684045088550"
"client","S1","latency","update",5175,"1684045088555"
"client","S1","latency","update",3906,"1684045088563"
"client","S1","latency","update",5256,"1684045088580"
"client","S1","latency","update",7217,"1684045088587"
"client","S1","latency","update",3805,"1684045088596"
"client","S1","latency","update",3754,"1684045088600"
"client","S1","latency","update",3805,"1684045088604"
"client","S1","latency","update",3794,"1684045088608"
"client","S1","latency","update",4403,"1684045088616"
"client","S1","latency","update",3720,"1684045088620"
"client","S1","latency","update",3724,"1684045088638"
"client","S1","latency","update",4902,"1684045088643"
"client","S1","latency","update",3618,"1684045088647"
"client","S1","latency","update",4318,"1684045088651"
"client","S1","latency","update",3909,"1684045088655"
"client","S1","latency","update",3788,"1684045088659"
"client","S1","latency","update",3727,"1684045088663"
"client","S1","latency","update",5425,"1684045088681"
"client","S1","latency","update",4302,"1684045088706"
"client","S1","latency","update",5379,"1684045088732"
"client","S1","latency","update",4139,"1684045088741"
"client","S1","latency","update",4555,"1684045088749"
"client","S1","latency","update",5284,"1684045088770"
"client","S1","latency","update",4001,"1684045088784"
"client","S1","latency","update",4551,"1684045088796"
"client","S1","latency","update",5755,"1684045088810"
"client","S1","latency","update",4228,"1684045088815"
"client","S1","latency","update",4125,"1684045088824"
"client","S1","latency","update",5129,"1684045088833"
"client","S1","latency","update",4121,"1684045088838"
