"nodeType","testGroup","testName","clusterType","consensusAlg","category","metric","value","timestamp"
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.07,1712506887
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506889
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506891
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506893
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0,1712506895
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506897
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506899
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506901
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.14,1712506903
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506905
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.04,1712506907
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506909
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506911
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.02,1712506913
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.02,1712506915
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506917
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506919
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506921
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506923
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506925
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506927
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.02,1712506929
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506931
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.02,1712506933
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.02,1712506935
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506937
